          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   1               65536             1.00000             1.00000             0.10000             1.00000             3.93030             2.96690             8.80251               50098             0.76443                   0                   1
                   3                   1               65536             1.00000             1.00000             0.10000             1.00000             3.93030             2.96690             8.80251               50098             0.76443                   0                   0
                   3                   1               65536             1.00000             1.00000             0.11010             1.00000             3.59880             2.68739             7.22208               49425             0.75417                   0                   1
                   3                   1               65536             1.00000             1.00000             0.11010             1.00000             3.59880             2.68739             7.22208               49425             0.75417                   0                   0
                   3                   1               65536             1.00000             1.00000             0.12020             1.00000             3.32895             2.43076             5.90861               48633             0.74208                   0                   1
                   3                   1               65536             1.00000             1.00000             0.12020             1.00000             3.32895             2.43076             5.90861               48633             0.74208                   0                   0
                   3                   1               65536             1.00000             1.00000             0.13030             1.00000             3.08396             2.20544             4.86398               47944             0.73157                   0                   1
                   3                   1               65536             1.00000             1.00000             0.13030             1.00000             3.08396             2.20544             4.86398               47944             0.73157                   0                   0
                   3                   1               65536             1.00000             1.00000             0.14040             1.00000             2.91159             2.03664             4.14791               47236             0.72076                   0                   1
                   3                   1               65536             1.00000             1.00000             0.14040             1.00000             2.91159             2.03664             4.14791               47236             0.72076                   0                   0
                   3                   1               65536             1.00000             1.00000             0.15051             1.00000             2.75176             1.88660             3.55925               46655             0.71190                   0                   1
                   3                   1               65536             1.00000             1.00000             0.15051             1.00000             2.75176             1.88660             3.55925               46655             0.71190                   0                   0
                   3                   1               65536             1.00000             1.00000             0.16061             1.00000             2.59998             1.73647             3.01531               46075             0.70305                   0                   1
                   3                   1               65536             1.00000             1.00000             0.16061             1.00000             2.59998             1.73647             3.01531               46075             0.70305                   0                   0
                   3                   1               65536             1.00000             1.00000             0.17071             1.00000             2.47601             1.58623             2.51614               45509             0.69441                   0                   1
                   3                   1               65536             1.00000             1.00000             0.17071             1.00000             2.47601             1.58623             2.51614               45509             0.69441                   0                   0
                   3                   1               65536             1.00000             1.00000             0.18081             1.00000             2.37231             1.49206             2.22626               45000             0.68665                   0                   1
                   3                   1               65536             1.00000             1.00000             0.18081             1.00000             2.37231             1.49206             2.22626               45000             0.68665                   0                   0
                   3                   1               65536             1.00000             1.00000             0.19091             1.00000             2.24892             1.35865             1.84594               44393             0.67738                   0                   1
                   3                   1               65536             1.00000             1.00000             0.19091             1.00000             2.24892             1.35865             1.84594               44393             0.67738                   0                   0
                   3                   1               65536             1.00000             1.00000             0.20101             1.00000             2.18847             1.28718             1.65682               43887             0.66966                   0                   1
                   3                   1               65536             1.00000             1.00000             0.20101             1.00000             2.18847             1.28718             1.65682               43887             0.66966                   0                   0
                   3                   1               65536             1.00000             1.00000             0.21111             1.00000             2.10196             1.18801             1.41136               43413             0.66243                   0                   1
                   3                   1               65536             1.00000             1.00000             0.21111             1.00000             2.10196             1.18801             1.41136               43413             0.66243                   0                   0
