          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             0.05000             0.20000             1.00000            22.16570             3.87500            15.01562               32736             0.99902                   1                   1
                   3                  10               32768             1.00000             0.05000             0.30000             1.00000            17.18872             2.01738             4.06980               32693             0.99771                   1                   1
                   3                  10               32768             1.00000             0.05000             0.40000             1.00000            15.44830             0.85213             0.72612               32653             0.99649                   1                   1
                   3                  10               32768             1.00000             0.05000             0.60000             1.00000            15.19485             0.70645             0.49908               32567             0.99387                   1                   1
                   3                  10               32768             1.00000             0.05000             0.70000             1.00000            15.76602             1.31291             1.72374               32514             0.99225                   1                   1
                   3                  10               32768             1.00000             0.05000             0.80000             1.00000            16.59304             1.87573             3.51836               32436             0.98987                   1                   1
                   3                  10               32768             1.00000             0.10000             0.20000             1.00000            22.09226             3.97684            15.81525               32653             0.99649                   1                   1
                   3                  10               32768             1.00000             0.10000             0.30000             1.00000            17.16046             2.05516             4.22366               32567             0.99387                   1                   1
                   3                  10               32768             1.00000             0.10000             0.40000             1.00000            15.41859             0.86571             0.74946               32436             0.98987                   1                   1
                   3                  10               32768             1.00000             0.10000             0.60000             1.00000            15.22789             0.71013             0.50428               32158             0.98138                   1                   1
                   3                  10               32768             1.00000             0.10000             0.70000             1.00000            15.83571             1.33497             1.78214               31966             0.97552                   1                   1
                   3                  10               32768             1.00000             0.10000             0.80000             1.00000            16.67654             1.90393             3.62496               31784             0.96997                   1                   1
                   3                  10               32768             1.00000             0.15000             0.20000             1.00000            22.06591             4.04610            16.37094               32567             0.99387                   1                   1
                   3                  10               32768             1.00000             0.15000             0.30000             1.00000            17.08541             2.05901             4.23953               32365             0.98770                   1                   1
                   3                  10               32768             1.00000             0.15000             0.40000             1.00000            15.40213             0.87152             0.75954               32158             0.98138                   1                   1
                   3                  10               32768             1.00000             0.15000             0.60000             1.00000            15.26141             0.70658             0.49925               31587             0.96396                   1                   1
                   3                  10               32768             1.00000             0.15000             0.70000             1.00000            15.90183             1.32013             1.74274               31288             0.95483                   1                   1
                   3                  10               32768             1.00000             0.15000             0.80000             1.00000            16.75187             1.88002             3.53449               31004             0.94617                   1                   1
                   3                  10               32768             1.00000             0.20000             0.20000             1.00000            21.95343             4.03999            16.32150               32436             0.98987                   1                   1
                   3                  10               32768             1.00000             0.20000             0.30000             1.00000            17.06432             2.06582             4.26762               32158             0.98138                   1                   1
                   3                  10               32768             1.00000             0.20000             0.40000             1.00000            15.38006             0.87874             0.77218               31784             0.96997                   1                   1
                   3                  10               32768             1.00000             0.20000             0.60000             1.00000            15.27421             0.70702             0.49987               31004             0.94617                   1                   1
                   3                  10               32768             1.00000             0.20000             0.70000             1.00000            15.89087             1.31899             1.73972               30608             0.93408                   1                   1
                   3                  10               32768             1.00000             0.20000             0.80000             1.00000            16.74578             1.87692             3.52283               30102             0.91864                   1                   1
                   3                  10               32768             1.00000             0.25000             0.20000             1.00000            21.89394             4.06248            16.50371               32294             0.98553                   1                   1
                   3                  10               32768             1.00000             0.25000             0.30000             1.00000            17.02786             2.07686             4.31333               31883             0.97299                   1                   1
                   3                  10               32768             1.00000             0.25000             0.40000             1.00000            15.35801             0.87405             0.76396               31393             0.95804                   1                   1
                   3                  10               32768             1.00000             0.25000             0.60000             1.00000            15.27027             0.70399             0.49560               30360             0.92651                   1                   1
                   3                  10               32768             1.00000             0.25000             0.70000             1.00000            15.90414             1.33902             1.79298               29678             0.90570                   1                   1
                   3                  10               32768             1.00000             0.25000             0.80000             1.00000            16.76887             1.93035             3.72625               29007             0.88522                   1                   1
                   3                  10               32768             1.00000             0.30000             0.20000             1.00000            21.87662             4.06709            16.54118               32158             0.98138                   1                   1
                   3                  10               32768             1.00000             0.30000             0.30000             1.00000            16.96681             2.05550             4.22508               31587             0.96396                   1                   1
                   3                  10               32768             1.00000             0.30000             0.40000             1.00000            15.34529             0.86770             0.75291               31004             0.94617                   1                   1
                   3                  10               32768             1.00000             0.30000             0.60000             1.00000            15.27955             0.71659             0.51350               29522             0.90094                   1                   1
                   3                  10               32768             1.00000             0.30000             0.70000             1.00000            15.90842             1.36449             1.86184               28751             0.87741                   1                   1
                   3                  10               32768             1.00000             0.30000             0.80000             1.00000            16.80117             1.92867             3.71977               27841             0.84964                   1                   1
                   3                  10               32768             1.00000             0.35000             0.20000             1.00000            21.81563             4.08834            16.71452               31966             0.97552                   1                   1
                   3                  10               32768             1.00000             0.35000             0.30000             1.00000            16.93049             2.05353             4.21699               31288             0.95483                   1                   1
                   3                  10               32768             1.00000             0.35000             0.40000             1.00000            15.35287             0.86558             0.74924               30608             0.93408                   1                   1
                   3                  10               32768             1.00000             0.35000             0.60000             1.00000            15.27742             0.72962             0.53235               28751             0.87741                   1                   1
                   3                  10               32768             1.00000             0.35000             0.70000             1.00000            15.93996             1.36027             1.85032               27710             0.84564                   1                   1
                   3                  10               32768             1.00000             0.35000             0.80000             1.00000            16.83112             1.93380             3.73958               26569             0.81082                   1                   1
                   3                  10               32768             1.00000             0.40000             0.20000             1.00000            21.77360             4.10078            16.81640               31784             0.96997                   1                   1
                   3                  10               32768             1.00000             0.40000             0.30000             1.00000            16.92957             2.05678             4.23034               31004             0.94617                   1                   1
                   3                  10               32768             1.00000             0.40000             0.40000             1.00000            15.34810             0.86627             0.75043               30102             0.91864                   1                   1
                   3                  10               32768             1.00000             0.40000             0.60000             1.00000            15.29275             0.72531             0.52608               27841             0.84964                   1                   1
                   3                  10               32768             1.00000             0.40000             0.70000             1.00000            15.95815             1.36004             1.84970               26569             0.81082                   1                   1
                   3                  10               32768             1.00000             0.40000             0.80000             1.00000            16.86052             1.88835             3.56585               25264             0.77100                   1                   1
                   3                  10               32768             1.00000             0.45000             0.20000             1.00000            21.68467             4.04677            16.37633               31587             0.96396                   1                   1
                   3                  10               32768             1.00000             0.45000             0.30000             1.00000            16.93848             2.05022             4.20341               30700             0.93689                   1                   1
                   3                  10               32768             1.00000             0.45000             0.40000             1.00000            15.33873             0.87945             0.77343               29522             0.90094                   1                   1
                   3                  10               32768             1.00000             0.45000             0.60000             1.00000            15.30297             0.73065             0.53386               26877             0.82022                   1                   1
                   3                  10               32768             1.00000             0.45000             0.70000             1.00000            15.96688             1.33055             1.77037               25432             0.77612                   1                   1
                   3                  10               32768             1.00000             0.45000             0.80000             1.00000            16.82830             1.86766             3.48815               23932             0.73035                   1                   1
                   3                  10               32768             1.00000             0.50000             0.20000             1.00000            21.67070             4.07889            16.63732               31393             0.95804                   1                   1
                   3                  10               32768             1.00000             0.50000             0.30000             1.00000            16.94104             2.04797             4.19419               30360             0.92651                   1                   1
                   3                  10               32768             1.00000             0.50000             0.40000             1.00000            15.33744             0.89093             0.79376               29007             0.88522                   1                   1
                   3                  10               32768             1.00000             0.50000             0.60000             1.00000            15.30840             0.71147             0.50618               25919             0.79099                   1                   1
                   3                  10               32768             1.00000             0.50000             0.70000             1.00000            15.96926             1.31608             1.73207               24296             0.74146                   1                   1
                   3                  10               32768             1.00000             0.50000             0.80000             1.00000            16.83238             1.86905             3.49336               22543             0.68796                   1                   1
                   3                  10               32768             1.00000             0.55000             0.20000             1.00000            21.66022             4.06755            16.54494               31202             0.95221                   1                   1
                   3                  10               32768             1.00000             0.55000             0.30000             1.00000            16.92157             2.05687             4.23070               29965             0.91446                   1                   1
                   3                  10               32768             1.00000             0.55000             0.40000             1.00000            15.33573             0.89172             0.79517               28460             0.86853                   1                   1
                   3                  10               32768             1.00000             0.55000             0.60000             1.00000            15.31762             0.70872             0.50229               24933             0.76089                   1                   1
                   3                  10               32768             1.00000             0.55000             0.70000             1.00000            15.95067             1.30889             1.71320               23086             0.70453                   1                   1
                   3                  10               32768             1.00000             0.55000             0.80000             1.00000            16.81283             1.85383             3.43670               21220             0.64758                   1                   1
                   3                  10               32768             1.00000             0.60000             0.20000             1.00000            21.61135             4.04928            16.39668               31004             0.94617                   1                   1
