          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             0.05000             0.20000             1.00000            18.84074             5.52571            30.53348               32319             0.98630                   0                   1
                   3                  10               32768             1.00000             0.05000             0.30000             1.00000            16.55948             2.88445             8.32003               32178             0.98199                   0                   1
                   3                  10               32768             1.00000             0.05000             0.40000             1.00000            15.44523             1.15876             1.34272               32042             0.97784                   0                   1
                   3                  10               32768             1.00000             0.05000             0.60000             1.00000            15.00946             0.87892             0.77251               31847             0.97189                   0                   1
                   3                  10               32768             1.00000             0.05000             0.70000             1.00000            15.35475             1.51188             2.28578               31763             0.96933                   0                   1
                   3                  10               32768             1.00000             0.05000             0.80000             1.00000            15.75498             2.17172             4.71638               31685             0.96695                   0                   1
                   3                  10               32768             1.00000             0.10000             0.20000             1.00000            22.99462             5.31269            28.22463               31705             0.96756                   0                   1
                   3                  10               32768             1.00000             0.10000             0.30000             1.00000            17.55052             2.28759             5.23305               31423             0.95895                   0                   1
                   3                  10               32768             1.00000             0.10000             0.40000             1.00000            15.61542             0.94576             0.89446               31188             0.95178                   0                   1
                   3                  10               32768             1.00000             0.10000             0.60000             1.00000            15.17595             0.76005             0.57768               30801             0.93997                   0                   1
                   3                  10               32768             1.00000             0.10000             0.70000             1.00000            15.68318             1.37466             1.88969               30671             0.93600                   0                   1
                   3                  10               32768             1.00000             0.10000             0.80000             1.00000            16.44590             1.96907             3.87725               30530             0.93170                   0                   1
                   3                  10               32768             1.00000             0.15000             0.20000             1.00000            22.59497             4.52913            20.51300               31092             0.94885                   0                   1
                   3                  10               32768             1.00000             0.15000             0.30000             1.00000            17.27111             2.26194             5.11637               30713             0.93729                   0                   1
                   3                  10               32768             1.00000             0.15000             0.40000             1.00000            15.51739             0.89061             0.79319               30408             0.92798                   0                   1
                   3                  10               32768             1.00000             0.15000             0.60000             1.00000            15.24386             0.68584             0.47038               29876             0.91174                   0                   1
                   3                  10               32768             1.00000             0.15000             0.70000             1.00000            15.85395             1.26797             1.60775               29660             0.90515                   0                   1
                   3                  10               32768             1.00000             0.15000             0.80000             1.00000            16.56184             1.98205             3.92853               29459             0.89902                   0                   1
                   3                  10               32768             1.00000             0.20000             0.20000             1.00000            22.15681             4.20920            17.71734               30541             0.93204                   0                   1
                   3                  10               32768             1.00000             0.20000             0.30000             1.00000            17.20016             2.06242             4.25358               30045             0.91690                   0                   1
                   3                  10               32768             1.00000             0.20000             0.40000             1.00000            15.37816             0.85106             0.72430               29629             0.90421                   0                   1
                   3                  10               32768             1.00000             0.20000             0.60000             1.00000            15.24481             0.72644             0.52772               28954             0.88361                   0                   1
                   3                  10               32768             1.00000             0.20000             0.70000             1.00000            15.80714             1.38503             1.91830               28648             0.87427                   0                   1
                   3                  10               32768             1.00000             0.20000             0.80000             1.00000            16.74069             1.88402             3.54954               28358             0.86542                   0                   1
                   3                  10               32768             1.00000             0.25000             0.20000             1.00000            21.83271             4.05290            16.42596               30010             0.91583                   0                   1
                   3                  10               32768             1.00000             0.25000             0.30000             1.00000            17.11449             2.19020             4.79697               29376             0.89648                   0                   1
                   3                  10               32768             1.00000             0.25000             0.40000             1.00000            15.40388             0.88539             0.78392               28890             0.88165                   0                   1
                   3                  10               32768             1.00000             0.25000             0.60000             1.00000            15.27014             0.68364             0.46737               28062             0.85638                   0                   1
                   3                  10               32768             1.00000             0.25000             0.70000             1.00000            15.89277             1.31690             1.73423               27628             0.84314                   0                   1
                   3                  10               32768             1.00000             0.25000             0.80000             1.00000            16.74844             1.85231             3.43104               27267             0.83212                   0                   1
                   3                  10               32768             1.00000             0.30000             0.20000             1.00000            21.92951             4.14015            17.14083               29440             0.89844                   0                   1
                   3                  10               32768             1.00000             0.30000             0.30000             1.00000            17.03813             2.07320             4.29816               28767             0.87790                   0                   1
                   3                  10               32768             1.00000             0.30000             0.40000             1.00000            15.35410             0.82980             0.68856               28108             0.85779                   0                   1
                   3                  10               32768             1.00000             0.30000             0.60000             1.00000            15.25747             0.69579             0.48412               27052             0.82556                   0                   1
                   3                  10               32768             1.00000             0.30000             0.70000             1.00000            15.87768             1.24719             1.55549               26607             0.81198                   0                   1
                   3                  10               32768             1.00000             0.30000             0.80000             1.00000            16.70006             1.80753             3.26716               26201             0.79959                   0                   1
                   3                  10               32768             1.00000             0.35000             0.20000             1.00000            21.82039             4.30728            18.55270               28930             0.88287                   0                   1
                   3                  10               32768             1.00000             0.35000             0.30000             1.00000            16.96963             2.01147             4.04603               28086             0.85712                   0                   1
                   3                  10               32768             1.00000             0.35000             0.40000             1.00000            15.36005             0.81223             0.65972               27308             0.83337                   0                   1
                   3                  10               32768             1.00000             0.35000             0.60000             1.00000            15.26156             0.69306             0.48034               26146             0.79791                   0                   1
                   3                  10               32768             1.00000             0.35000             0.70000             1.00000            15.84419             1.32705             1.76106               25651             0.78281                   0                   1
                   3                  10               32768             1.00000             0.35000             0.80000             1.00000            16.63058             1.91828             3.67981               25085             0.76553                   0                   1
                   3                  10               32768             1.00000             0.40000             0.20000             1.00000            21.81179             3.91487            15.32618               28355             0.86533                   0                   1
                   3                  10               32768             1.00000             0.40000             0.30000             1.00000            16.86419             2.00061             4.00245               27394             0.83600                   0                   1
                   3                  10               32768             1.00000             0.40000             0.40000             1.00000            15.36687             0.84143             0.70801               26554             0.81036                   0                   1
                   3                  10               32768             1.00000             0.40000             0.60000             1.00000            15.22094             0.70050             0.49071               25184             0.76855                   0                   1
                   3                  10               32768             1.00000             0.40000             0.70000             1.00000            15.87708             1.29307             1.67204               24602             0.75079                   0                   1
                   3                  10               32768             1.00000             0.40000             0.80000             1.00000            16.63190             1.90661             3.63515               24064             0.73438                   0                   1
                   3                  10               32768             1.00000             0.45000             0.20000             1.00000            21.63287             3.83981            14.74413               27826             0.84918                   0                   1
                   3                  10               32768             1.00000             0.45000             0.30000             1.00000            16.92775             1.92757             3.71552               26716             0.81531                   0                   1
                   3                  10               32768             1.00000             0.45000             0.40000             1.00000            15.38909             0.88025             0.77483               25810             0.78766                   0                   1
                   3                  10               32768             1.00000             0.45000             0.60000             1.00000            15.27229             0.71633             0.51312               24272             0.74072                   0                   1
                   3                  10               32768             1.00000             0.45000             0.70000             1.00000            15.81722             1.39828             1.95519               23594             0.72003                   0                   1
                   3                  10               32768             1.00000             0.45000             0.80000             1.00000            16.67657             1.84329             3.39773               23007             0.70212                   0                   1
                   3                  10               32768             1.00000             0.50000             0.20000             1.00000            21.69438             3.88000            15.05437               27283             0.83261                   0                   1
                   3                  10               32768             1.00000             0.50000             0.30000             1.00000            16.98538             1.98011             3.92084               26010             0.79376                   0                   1
                   3                  10               32768             1.00000             0.50000             0.40000             1.00000            15.39248             0.86054             0.74053               25029             0.76382                   0                   1
                   3                  10               32768             1.00000             0.50000             0.60000             1.00000            15.26206             0.70692             0.49974               23411             0.71445                   0                   1
                   3                  10               32768             1.00000             0.50000             0.70000             1.00000            15.85722             1.32869             1.76542               22693             0.69254                   0                   1
                   3                  10               32768             1.00000             0.50000             0.80000             1.00000            16.73630             1.91964             3.68502               21953             0.66995                   0                   1
                   3                  10               32768             1.00000             0.55000             0.20000             1.00000            21.90897             3.88482            15.09183               26765             0.81680                   0                   1
                   3                  10               32768             1.00000             0.55000             0.30000             1.00000            16.97627             1.96995             3.88070               25447             0.77658                   0                   1
                   3                  10               32768             1.00000             0.55000             0.40000             1.00000            15.37535             0.85750             0.73531               24293             0.74136                   0                   1
                   3                  10               32768             1.00000             0.55000             0.60000             1.00000            15.23503             0.70725             0.50020               22451             0.68515                   0                   1
                   3                  10               32768             1.00000             0.55000             0.70000             1.00000            15.83282             1.35695             1.84132               21663             0.66110                   0                   1
                   3                  10               32768             1.00000             0.55000             0.80000             1.00000            16.72453             1.89207             3.57993               20977             0.64017                   0                   1
                   3                  10               32768             1.00000             0.60000             0.20000             1.00000            21.81879             3.97054            15.76518               26188             0.79919                   0                   1
                   3                  10               32768             1.00000             0.60000             0.30000             1.00000            16.97115             2.02810             4.11320               24772             0.75598                   0                   1
                   3                  10               32768             1.00000             0.60000             0.40000             1.00000            15.39610             0.86931             0.75570               23553             0.71878                   0                   1
                   3                  10               32768             1.00000             0.60000             0.60000             1.00000            15.30071             0.68925             0.47506               21551             0.65768                   0                   1
                   3                  10               32768             1.00000             0.60000             0.70000             1.00000            15.94052             1.29186             1.66891               20753             0.63333                   0                   1
                   3                  10               32768             1.00000             0.60000             0.80000             1.00000            16.79700             1.87915             3.53119               19972             0.60950                   0                   1
                   3                  10               32768             1.00000             0.65000             0.20000             1.00000            21.75068             4.08823            16.71363               25721             0.78494                   0                   1
                   3                  10               32768             1.00000             0.65000             0.30000             1.00000            17.01392             2.07193             4.29291               24097             0.73538                   0                   1
                   3                  10               32768             1.00000             0.65000             0.40000             1.00000            15.33608             0.82755             0.68483               22806             0.69598                   0                   1
                   3                  10               32768             1.00000             0.65000             0.60000             1.00000            15.23904             0.72338             0.52329               20702             0.63177                   0                   1
                   3                  10               32768             1.00000             0.65000             0.70000             1.00000            15.90514             1.29624             1.68025               19818             0.60480                   0                   1
                   3                  10               32768             1.00000             0.65000             0.80000             1.00000            16.68011             1.87204             3.50453               19037             0.58096                   0                   1
                   3                  10               32768             1.00000             0.70000             0.20000             1.00000            21.81626             4.17173            17.40336               25133             0.76700                   0                   1
                   3                  10               32768             1.00000             0.70000             0.30000             1.00000            17.02258             2.03805             4.15367               23449             0.71561                   0                   1
                   3                  10               32768             1.00000             0.70000             0.40000             1.00000            15.38162             0.88457             0.78246               22070             0.67352                   0                   1
                   3                  10               32768             1.00000             0.70000             0.60000             1.00000            15.25167             0.70685             0.49963               19889             0.60696                   0                   1
                   3                  10               32768             1.00000             0.70000             0.70000             1.00000            15.91769             1.30914             1.71383               18865             0.57571                   0                   1
                   3                  10               32768             1.00000             0.70000             0.80000             1.00000            16.77772             1.89591             3.59446               18152             0.55396                   0                   1
                   3                  10               32768             1.00000             0.75000             0.20000             1.00000            21.73250             3.97185            15.77559               24572             0.74988                   0                   1
                   3                  10               32768             1.00000             0.75000             0.30000             1.00000            16.95917             2.08948             4.36592               22801             0.69583                   0                   1
                   3                  10               32768             1.00000             0.75000             0.40000             1.00000            15.34595             0.86439             0.74718               21342             0.65131                   0                   1
                   3                  10               32768             1.00000             0.75000             0.60000             1.00000            15.27957             0.69837             0.48772               18998             0.57977                   0                   1
                   3                  10               32768             1.00000             0.75000             0.70000             1.00000            15.90393             1.29684             1.68179               18086             0.55194                   0                   1
                   3                  10               32768             1.00000             0.75000             0.80000             1.00000            16.75588             1.92961             3.72338               17262             0.52679                   0                   1
                   3                  10               32768             1.00000             0.80000             0.20000             1.00000            21.92566             3.96834            15.74769               24075             0.73471                   0                   1
                   3                  10               32768             1.00000             0.80000             0.30000             1.00000            16.94624             2.11640             4.47914               22180             0.67688                   0                   1
                   3                  10               32768             1.00000             0.80000             0.40000             1.00000            15.35575             0.86515             0.74849               20695             0.63156                   0                   1
                   3                  10               32768             1.00000             0.80000             0.60000             1.00000            15.26587             0.72057             0.51922               18244             0.55676                   0                   1
                   3                  10               32768             1.00000             0.80000             0.70000             1.00000            15.95418             1.29839             1.68582               17173             0.52408                   0                   1
