          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10              262144             1.00000             0.55000             0.49992             1.00000            15.00000             0.00063             0.00000              186698             0.71220                   0                   1
                   3                  10              262144             1.00000             0.55000             0.49992             1.00000            14.99997             0.00062             0.00000              186716             0.71227                   0                   1
                   3                  10              262144             1.00000             0.55000             0.49992             1.00000            15.00000             0.00063             0.00000              185881             0.70908                   0                   1
                   3                  10              262144             1.00000             0.55000             0.49992             1.00000            14.99998             0.00064             0.00000              186381             0.71099                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            15.00002             0.00063             0.00000              185963             0.70939                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            15.00002             0.00066             0.00000              186281             0.71061                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            15.00000             0.00063             0.00000              186234             0.71043                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            14.99999             0.00063             0.00000              185806             0.70879                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            15.00001             0.00062             0.00000              185944             0.70932                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50008             1.00000            14.99998             0.00062             0.00000              186141             0.71007                   0                   1
