          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  30               16384             1.00000             1.20000             0.40000             1.00000            46.74245             1.46796             2.15491                7806             0.47644                   0                   1
                   3                  30               16384             1.00000             0.80000             0.40000             1.00000            45.81644             1.42475             2.02990               12646             0.77185                   1                   1
                   3                  30               17327             1.00000             1.20000             0.40000             1.00000            46.71330             1.49944             2.24832                8249             0.47608                   0                   1
                   3                  30               17327             1.00000             0.80000             0.40000             1.00000            45.80557             1.43670             2.06409               13377             0.77203                   1                   1
                   3                  30               18326             1.00000             1.20000             0.40000             1.00000            46.60657             1.55575             2.42036                8720             0.47583                   0                   1
                   3                  30               18326             1.00000             0.80000             0.40000             1.00000            45.78299             1.43907             2.07092               14154             0.77235                   1                   1
                   3                  30               19381             1.00000             1.20000             0.40000             1.00000            46.53042             1.56789             2.45829                9225             0.47598                   0                   1
                   3                  30               19381             1.00000             0.80000             0.40000             1.00000            45.78917             1.44046             2.07494               14964             0.77210                   1                   1
                   3                  30               20498             1.00000             1.20000             0.40000             1.00000            46.47697             1.57159             2.46988                9746             0.47546                   0                   1
                   3                  30               20498             1.00000             0.80000             0.40000             1.00000            45.81989             1.44383             2.08465               15803             0.77095                   1                   1
                   3                  30               21679             1.00000             1.20000             0.40000             1.00000            46.43404             1.57289             2.47400               10307             0.47544                   0                   1
                   3                  30               21679             1.00000             0.80000             0.40000             1.00000            45.84901             1.45076             2.10472               16713             0.77093                   1                   1
                   3                  30               22928             1.00000             1.20000             0.40000             1.00000            46.45660             1.54377             2.38324               10897             0.47527                   0                   1
                   3                  30               22928             1.00000             0.80000             0.40000             1.00000            45.89549             1.46030             2.13248               17706             0.77224                   1                   1
                   3                  30               24249             1.00000             1.20000             0.40000             1.00000            46.48692             1.53505             2.35638               11537             0.47577                   0                   1
                   3                  30               24249             1.00000             0.80000             0.40000             1.00000            45.92128             1.45498             2.11695               18736             0.77265                   1                   1
                   3                  30               25646             1.00000             1.20000             0.40000             1.00000            46.55687             1.53735             2.36344               12201             0.47575                   0                   1
                   3                  30               25646             1.00000             0.80000             0.40000             1.00000            45.89406             1.45064             2.10436               19795             0.77186                   1                   1
                   3                  30               27123             1.00000             1.20000             0.40000             1.00000            46.56637             1.53686             2.36195               12918             0.47627                   0                   1
                   3                  30               27123             1.00000             0.80000             0.40000             1.00000            45.87155             1.46054             2.13317               20922             0.77137                   1                   1
                   3                  30               28686             1.00000             1.20000             0.40000             1.00000            46.53094             1.52361             2.32138               13644             0.47563                   0                   1
                   3                  30               28686             1.00000             0.80000             0.40000             1.00000            45.91288             1.46179             2.13683               22150             0.77215                   1                   1
                   3                  30               30339             1.00000             1.20000             0.40000             1.00000            46.56064             1.53760             2.36422               14450             0.47628                   0                   1
                   3                  30               30339             1.00000             0.80000             0.40000             1.00000            45.93751             1.46402             2.14337               23441             0.77264                   1                   1
                   3                  30               32086             1.00000             1.20000             0.40000             1.00000            46.55405             1.52903             2.33793               15244             0.47510                   0                   1
                   3                  30               32086             1.00000             0.80000             0.40000             1.00000            45.94088             1.46649             2.15060               24788             0.77255                   1                   1
                   3                  30               33935             1.00000             1.20000             0.40000             1.00000            46.53320             1.52416             2.32307               16133             0.47541                   0                   1
                   3                  30               33935             1.00000             0.80000             0.40000             1.00000            45.95923             1.46707             2.15229               26218             0.77259                   1                   1
                   3                  30               35890             1.00000             1.20000             0.40000             1.00000            46.47481             1.55161             2.40750               17043             0.47487                   0                   1
                   3                  30               35890             1.00000             0.80000             0.40000             1.00000            45.98899             1.46512             2.14659               27734             0.77275                   1                   1
                   3                  30               37958             1.00000             1.20000             0.40000             1.00000            46.39234             1.56605             2.45250               18005             0.47434                   0                   1
                   3                  30               37958             1.00000             0.80000             0.40000             1.00000            46.02301             1.48849             2.21562               29346             0.77312                   1                   1
                   3                  30               40144             1.00000             1.20000             0.40000             1.00000            46.33555             1.57491             2.48033               19078             0.47524                   0                   1
                   3                  30               40144             1.00000             0.80000             0.40000             1.00000            46.02497             1.49092             2.22283               31077             0.77414                   1                   1
