          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  30                4096             1.00000             1.15000             0.40000             1.00000            46.60858             1.25824             1.58317                1951             0.47632                   0                   1
                   3                  30                4096             1.00000             0.60000             0.40000             1.00000            45.76419             1.44990             2.10221                3466             0.84619                   1                   1
                   3                  30                5899             1.00000             1.15000             0.40000             1.00000            46.62052             1.29620             1.68014                2859             0.48466                   0                   1
                   3                  30                5899             1.00000             0.60000             0.40000             1.00000            45.96523             1.54226             2.37855                5027             0.85218                   1                   1
                   3                  30                8496             1.00000             1.15000             0.40000             1.00000            46.45031             1.45451             2.11560                4130             0.48611                   0                   1
                   3                  30                8496             1.00000             0.60000             0.40000             1.00000            45.94943             1.49383             2.23154                7261             0.85464                   1                   1
                   3                  30               12236             1.00000             1.15000             0.40000             1.00000            46.50871             1.46404             2.14341                6003             0.49060                   0                   1
                   3                  30               12236             1.00000             0.60000             0.40000             1.00000            45.90740             1.47933             2.18840               10444             0.85355                   1                   1
                   3                  30               17624             1.00000             1.15000             0.40000             1.00000            46.33613             1.49210             2.22635                8647             0.49064                   0                   1
                   3                  30               17624             1.00000             0.60000             0.40000             1.00000            45.83234             1.48698             2.21110               15003             0.85128                   1                   1
                   3                  30               25383             1.00000             1.15000             0.40000             1.00000            46.34598             1.44799             2.09666               12543             0.49415                   0                   1
                   3                  30               25383             1.00000             0.60000             0.40000             1.00000            45.99454             1.51143             2.28443               21633             0.85226                   1                   1
                   3                  30               36557             1.00000             1.15000             0.40000             1.00000            46.26576             1.47658             2.18029               17987             0.49203                   0                   1
                   3                  30               36557             1.00000             0.60000             0.40000             1.00000            46.07992             1.52801             2.33483               31196             0.85335                   1                   1
                   3                  30               52652             1.00000             1.15000             0.40000             1.00000            46.14971             1.42420             2.02835               26104             0.49578                   0                   1
                   3                  30               52652             1.00000             0.60000             0.40000             1.00000            46.11982             1.54121             2.37534               44976             0.85421                   1                   1
                   3                  30               75832             1.00000             1.15000             0.40000             1.00000            46.09738             1.45377             2.11344               37561             0.49532                   0                   1
                   3                  30               75832             1.00000             0.60000             0.40000             1.00000            46.10889             1.52665             2.33067               64741             0.85374                   1                   1
                   3                  30              109217             1.00000             1.15000             0.40000             1.00000            46.12501             1.47955             2.18907               53903             0.49354                   0                   1
                   3                  30              109217             1.00000             0.60000             0.40000             1.00000            46.14168             1.53501             2.35626               93203             0.85337                   1                   1
                   3                  30              157299             1.00000             1.15000             0.40000             1.00000            46.12009             1.49216             2.22656               77368             0.49185                   0                   1
                   3                  30              157299             1.00000             0.60000             0.40000             1.00000            46.17866             1.52858             2.33657              134366             0.85421                   1                   1
                   3                  30              226550             1.00000             1.15000             0.40000             1.00000            46.14093             1.49226             2.22684              111543             0.49235                   0                   1
                   3                  30              226550             1.00000             0.60000             0.40000             1.00000            46.15198             1.51720             2.30190              193283             0.85316                   1                   1
                   3                  30              326288             1.00000             1.15000             0.40000             1.00000            46.10361             1.50029             2.25088              160776             0.49274                   0                   1
                   3                  30              326288             1.00000             0.60000             0.40000             1.00000            46.16268             1.51268             2.28821              278113             0.85235                   1                   1
                   3                  30              469936             1.00000             1.15000             0.40000             1.00000            46.14144             1.51646             2.29964              231445             0.49250                   0                   1
                   3                  30              469936             1.00000             0.60000             0.40000             1.00000            46.14528             1.51454             2.29383              400405             0.85204                   1                   1
                   3                  30              676823             1.00000             1.15000             0.40000             1.00000            46.14192             1.51629             2.29913              333650             0.49296                   0                   1
                   3                  30              676823             1.00000             0.60000             0.40000             1.00000            46.13686             1.50729             2.27191              576538             0.85183                   1                   1
                   3                  30              974793             1.00000             1.15000             0.40000             1.00000            46.16471             1.52716             2.33221              480645             0.49307                   0                   1
                   3                  30              974793             1.00000             0.60000             0.40000             1.00000            46.14188             1.50889             2.27674              830558             0.85204                   1                   1
                   3                  30             1403942             1.00000             1.15000             0.40000             1.00000            46.15456             1.53043             2.34221              692133             0.49299                   0                   1
                   3                  30             1403942             1.00000             0.60000             0.40000             1.00000            46.13464             1.50593             2.26782             1195977             0.85187                   1                   1
                   3                  30             2022023             1.00000             1.15000             0.40000             1.00000            46.15830             1.52366             2.32155              996698             0.49292                   0                   1
                   3                  30             2022023             1.00000             0.60000             0.40000             1.00000            46.14214             1.50989             2.27975             1722175             0.85171                   1                   1
                   3                  30             2912212             1.00000             1.15000             0.40000             1.00000            46.13878             1.51277             2.28847             1435453             0.49291                   0                   1
                   3                  30             2912212             1.00000             0.60000             0.40000             1.00000            46.14053             1.51239             2.28732             2480128             0.85163                   1                   1
                   3                  30             4194304             1.00000             1.15000             0.40000             1.00000            46.13108             1.51621             2.29889             2067971             0.49304                   0                   1
                   3                  30             4194304             1.00000             0.60000             0.40000             1.00000            46.13423             1.51239             2.28731             3571825             0.85159                   1                   1
