          Dimensions           Particles         Metro-steps            Eq-steps          StepLength                Time          Analytical              Energy          Energy_std
                   3                   1                8192                  16             0.20000                7274                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9619                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                8074                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000               12088                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7499                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9742                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7286                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9120                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7205                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9048                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7357                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000               10299                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7309                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9203                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7271                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9067                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7867                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9580                   0             1.49007             0.16616
                   3                   1                8192                  16             0.20000                7176                   1             1.49001             0.16619
                   3                   1                8192                  32             0.20000                9075                   0             1.49007             0.16616
                   3                   2               16384                  16             0.20000               18302                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24713                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17420                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24492                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17192                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               25279                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17242                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               25246                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17081                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24640                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17134                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24471                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17283                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24611                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17944                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24688                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17618                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24853                   0             3.00142             0.23565
                   3                   2               16384                  16             0.20000               17217                   1             3.00137             0.23570
                   3                   2               16384                  32             0.20000               24928                   0             3.00142             0.23565
                   3                   3               24576                  16             0.20000               30754                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               46468                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               30530                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               47477                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29574                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               46883                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29316                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               47249                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29923                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               48634                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29331                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               46720                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               30556                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               47606                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29615                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               47123                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29511                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               48214                   0             4.50762             0.30714
                   3                   3               24576                  16             0.20000               29985                   1             4.50729             0.30744
                   3                   3               24576                  32             0.20000               46932                   0             4.50762             0.30714
                   3                   4               32768                  16             0.20000               45612                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               77604                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               44592                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               75822                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               44254                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               77673                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               45644                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               79297                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               46104                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               78794                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               52783                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               79526                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               45562                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               75848                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               45435                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               77421                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               45445                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               77446                   0             6.02926             0.34789
                   3                   4               32768                  16             0.20000               46075                   1             6.02882             0.34812
                   3                   4               32768                  32             0.20000               79834                   0             6.02926             0.34789
                   3                   5               40959                  16             0.20000               65986                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              112896                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               66504                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              116377                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               65078                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              123505                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               69744                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              122005                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               70617                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              121835                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               67105                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              120836                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               66154                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              117666                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               66469                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              116911                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               66100                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              117135                   0             7.51495             0.37671
                   3                   5               40959                  16             0.20000               66912                   1             7.51471             0.37695
                   3                   5               40959                  32             0.20000              118556                   0             7.51495             0.37671
                   3                  10               81919                  16             0.20000              205607                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              392455                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              197818                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              414529                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              204060                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              424540                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              206427                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              406589                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              202388                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              407515                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              218571                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              400472                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              208299                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              398395                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              211124                   1            15.11623             0.54993
                   3                  10               81919                  32             0.20000              389032                   0            15.11661             0.54944
                   3                  10               81919                  16             0.20000              200314                   1            15.11623             0.54993
