          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10             1048576             0.55000             0.50000             2.82843            24.39755             0.05329             0.00284             0.50000                   0             0.50000             2.82843
                   3                  10             1048576             0.55000             0.49984             2.82843            24.40047             0.05369             0.00288             0.50000                   1             0.49984             2.82843
                   3                  10             1048576             0.55000             0.49969             2.82843            24.39927             0.05275             0.00278             0.50000                   2             0.49969             2.82843
                   3                  10             1048576             0.55000             0.49955             2.82843            24.39813             0.05116             0.00262             0.50000                   3             0.49955             2.82843
                   3                  10             1048576             0.55000             0.49943             2.82843            24.39962             0.05214             0.00272             0.50000                   4             0.49943             2.82843
                   3                  10             1048576             0.55000             0.49930             2.82843            24.39930             0.05229             0.00273             0.50000                   5             0.49930             2.82843
                   3                  10             1048576             0.55000             0.49919             2.82843            24.39882             0.05044             0.00254             0.50000                   6             0.49919             2.82843
                   3                  10             1048576             0.55000             0.49908             2.82843            24.39920             0.05098             0.00260             0.50000                   7             0.49908             2.82843
                   3                  10             1048576             0.55000             0.49898             2.82843            24.39935             0.05005             0.00250             0.50000                   8             0.49898             2.82843
                   3                  10             1048576             0.55000             0.49888             2.82843            24.39912             0.05036             0.00254             0.50000                   9             0.49888             2.82843
                   3                  10             1048576             0.55000             0.49879             2.82843            24.39932             0.05010             0.00251             0.50000                  10             0.49879             2.82843
                   3                  10             1048576             0.55000             0.49871             2.82843            24.39975             0.05049             0.00255             0.50000                  11             0.49871             2.82843
                   3                  10             1048576             0.55000             0.49863             2.82843            24.39796             0.05035             0.00253             0.50000                  12             0.49863             2.82843
                   3                  10             1048576             0.55000             0.49855             2.82843            24.39874             0.05308             0.00282             0.50000                  13             0.49855             2.82843
                   3                  10             1048576             0.55000             0.49848             2.82843            24.39869             0.05026             0.00253             0.50000                  14             0.49848             2.82843
                   3                  10             1048576             0.55000             0.49842             2.82843            24.39751             0.05002             0.00250             0.50000                  15             0.49842             2.82843
                   3                  10             1048576             0.55000             0.49836             2.82843            24.39851             0.05369             0.00288             0.50000                  16             0.49836             2.82843
                   3                  10             1048576             0.55000             0.49831             2.82843            24.39869             0.04987             0.00249             0.50000                  17             0.49831             2.82843
                   3                  10             1048576             0.55000             0.49825             2.82843            24.39844             0.05073             0.00257             0.50000                  18             0.49825             2.82843
                   3                  10             1048576             0.55000             0.49820             2.82843            24.39849             0.05024             0.00252             0.50000                  19             0.49820             2.82843
                   3                  10             1048576             0.55000             0.49815             2.82843            24.39817             0.05001             0.00250             0.50000                  20             0.49815             2.82843
                   3                  10             1048576             0.55000             0.49811             2.82843            24.39827             0.05054             0.00255             0.50000                  21             0.49811             2.82843
                   3                  10             1048576             0.55000             0.49806             2.82843            24.39889             0.05082             0.00258             0.50000                  22             0.49806             2.82843
                   3                  10             1048576             0.55000             0.49802             2.82843            24.39815             0.05072             0.00257             0.50000                  23             0.49802             2.82843
                   3                  10             1048576             0.55000             0.49799             2.82843            24.39879             0.05055             0.00256             0.50000                  24             0.49799             2.82843
                   3                  10             1048576             0.55000             0.49795             2.82843            24.39847             0.05104             0.00261             0.50000                  25             0.49795             2.82843
                   3                  10             1048576             0.55000             0.49792             2.82843            24.39849             0.05080             0.00258             0.50000                  26             0.49792             2.82843
                   3                  10             1048576             0.55000             0.49789             2.82843            24.39853             0.05123             0.00262             0.50000                  27             0.49789             2.82843
                   3                  10             1048576             0.55000             0.49786             2.82843            24.39845             0.05105             0.00261             0.50000                  28             0.49786             2.82843
                   3                  10             1048576             0.55000             0.49783             2.82843            24.39864             0.05129             0.00263             0.50000                  29             0.49783             2.82843
                   3                  10             1048576             0.55000             0.49781             2.82843            24.39816             0.05165             0.00267             0.50000                  30             0.49781             2.82843
                   3                  10             1048576             0.55000             0.49779             2.82843            24.39924             0.05144             0.00265             0.50000                  31             0.49779             2.82843
                   3                  10             1048576             0.55000             0.49777             2.82843            24.39820             0.05225             0.00273             0.50000                  32             0.49777             2.82843
                   3                  10             1048576             0.55000             0.49775             2.82843            24.39864             0.05182             0.00269             0.50000                  33             0.49775             2.82843
                   3                  10             1048576             0.55000             0.49773             2.82843            24.39866             0.05166             0.00267             0.50000                  34             0.49773             2.82843
                   3                  10             1048576             0.55000             0.49771             2.82843            24.39885             0.05182             0.00269             0.50000                  35             0.49771             2.82843
                   3                  10             1048576             0.55000             0.49769             2.82843            24.39858             0.05156             0.00266             0.50000                  36             0.49769             2.82843
                   3                  10             1048576             0.55000             0.49768             2.82843            24.39833             0.05155             0.00266             0.50000                  37             0.49768             2.82843
                   3                  10             1048576             0.55000             0.49766             2.82843            24.39872             0.05186             0.00269             0.50000                  38             0.49766             2.82843
                   3                  10             1048576             0.55000             0.49764             2.82843            24.39859             0.05198             0.00270             0.50000                  39             0.49764             2.82843
                   3                  10             1048576             0.55000             0.49763             2.82843            24.39910             0.05218             0.00272             0.50000                  40             0.49763             2.82843
                   3                  10             1048576             0.55000             0.49762             2.82843            24.39913             0.05199             0.00270             0.50000                  41             0.49762             2.82843
                   3                  10             1048576             0.55000             0.49761             2.82843            24.39841             0.05195             0.00270             0.50000                  42             0.49761             2.82843
                   3                  10             1048576             0.55000             0.49759             2.82843            24.39848             0.05252             0.00276             0.50000                  43             0.49759             2.82843
                   3                  10             1048576             0.55000             0.49758             2.82843            24.39871             0.05293             0.00280             0.50000                  44             0.49758             2.82843
                   3                  10             1048576             0.55000             0.49757             2.82843            24.39855             0.05240             0.00275             0.50000                  45             0.49757             2.82843
                   3                  10             1048576             0.55000             0.49757             2.82843            24.39852             0.05181             0.00268             0.50000                  46             0.49757             2.82843
                   3                  10             1048576             0.55000             0.49756             2.82843            24.39824             0.05223             0.00273             0.50000                  47             0.49756             2.82843
                   3                  10             1048576             0.55000             0.49755             2.82843            24.39901             0.05251             0.00276             0.50000                  48             0.49755             2.82843
                   3                  10             1048576             0.55000             0.49754             2.82843            24.39831             0.05249             0.00275             0.50000                  49             0.49754             2.82843
                   3                  10             1048576             0.55000             0.49754             2.82843            24.39831             0.05249             0.00275             0.50000                  50             0.49754             2.82843
                   3                  50             1048576             0.55000             0.50000             2.82843           127.28746             0.49603             0.24604             0.50000                   0             0.50000             2.82843
                   3                  50             1048576             0.55000             0.49842             2.82843           127.26962             0.44816             0.20084             0.50000                   1             0.49842             2.82843
                   3                  50             1048576             0.55000             0.49695             2.82843           127.28852             0.41857             0.17520             0.50000                   2             0.49695             2.82843
                   3                  50             1048576             0.55000             0.49577             2.82843           127.26278             0.41096             0.16889             0.50000                   3             0.49577             2.82843
                   3                  50             1048576             0.55000             0.49475             2.82843           127.26878             0.40947             0.16767             0.50000                   4             0.49475             2.82843
                   3                  50             1048576             0.55000             0.49387             2.82843           127.27672             0.42151             0.17767             0.50000                   5             0.49387             2.82843
                   3                  50             1048576             0.55000             0.49314             2.82843           127.26728             0.42987             0.18479             0.50000                   6             0.49314             2.82843
                   3                  50             1048576             0.55000             0.49254             2.82843           127.27027             0.41658             0.17354             0.50000                   7             0.49254             2.82843
                   3                  50             1048576             0.55000             0.49202             2.82843           127.25986             0.44319             0.19642             0.50000                   8             0.49202             2.82843
                   3                  50             1048576             0.55000             0.49163             2.82843           127.26090             0.42376             0.17957             0.50000                   9             0.49163             2.82843
                   3                  50             1048576             0.55000             0.49124             2.82843           127.25157             0.42504             0.18066             0.50000                  10             0.49124             2.82843
                   3                  50             1048576             0.55000             0.49068             2.82843           127.27104             0.42972             0.18466             0.50000                  12             0.49068             2.82843
                   3                  50             1048576             0.55000             0.49039             2.82843           127.26992             0.46553             0.21672             0.50000                  13             0.49039             2.82843
                   3                  50             1048576             0.55000             0.49017             2.82843           127.26692             0.44370             0.19687             0.50000                  14             0.49017             2.82843
                   3                  50             1048576             0.55000             0.48998             2.82843           127.26338             0.44760             0.20034             0.50000                  15             0.48998             2.82843
                   3                  50             1048576             0.55000             0.48978             2.82843           127.25671             0.44147             0.19490             0.50000                  16             0.48978             2.82843
                   3                  50             1048576             0.55000             0.48965             2.82843           127.24189             0.43309             0.18757             0.50000                  17             0.48965             2.82843
                   3                  50             1048576             0.55000             0.48961             2.82843           127.27884             0.44504             0.19806             0.50000                  18             0.48961             2.82843
                   3                  50             1048576             0.55000             0.48950             2.82843           127.25579             0.44968             0.20221             0.50000                  19             0.48950             2.82843
                   3                  50             1048576             0.55000             0.48945             2.82843           127.26214             0.45383             0.20596             0.50000                  20             0.48945             2.82843
                   3                  50             1048576             0.55000             0.48942             2.82843           127.27636             0.44513             0.19814             0.50000                  21             0.48942             2.82843
                   3                  50             1048576             0.55000             0.48939             2.82843           127.26959             0.47046             0.22133             0.50000                  22             0.48939             2.82843
                   3                  50             1048576             0.55000             0.48933             2.82843           127.24872             0.47269             0.22344             0.50000                  23             0.48933             2.82843
                   3                  50             1048576             0.55000             0.48931             2.82843           127.26244             0.44702             0.19982             0.50000                  24             0.48931             2.82843
                   3                  50             1048576             0.55000             0.48925             2.82843           127.27169             0.45980             0.21141             0.50000                  25             0.48925             2.82843
                   3                  50             1048576             0.55000             0.48927             2.82843           127.25461             0.46389             0.21520             0.50000                  26             0.48927             2.82843
                   3                  50             1048576             0.55000             0.48921             2.82843           127.25519             0.44999             0.20249             0.50000                  27             0.48921             2.82843
