          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10             1048576             0.55000             0.50000             1.00000            15.15207             0.02528             0.00064             0.50000                   0             0.50000             1.00000
                   3                  10             1048576             0.55000             0.49991             1.00000            15.15329             0.02498             0.00062             0.50000                   1             0.49991             1.00000
                   3                  10             1048576             0.55000             0.49982             1.00000            15.15316             0.02460             0.00061             0.50000                   2             0.49982             1.00000
                   3                  10             1048576             0.55000             0.49973             1.00000            15.15282             0.02378             0.00057             0.50000                   3             0.49973             1.00000
                   3                  10             1048576             0.55000             0.49965             1.00000            15.15313             0.02347             0.00055             0.50000                   4             0.49965             1.00000
                   3                  10             1048576             0.55000             0.49957             1.00000            15.15331             0.02319             0.00054             0.50000                   5             0.49957             1.00000
                   3                  10             1048576             0.55000             0.49949             1.00000            15.15278             0.02441             0.00060             0.50000                   6             0.49949             1.00000
                   3                  10             1048576             0.55000             0.49941             1.00000            15.15302             0.02258             0.00051             0.50000                   7             0.49941             1.00000
                   3                  10             1048576             0.55000             0.49934             1.00000            15.15289             0.02204             0.00049             0.50000                   8             0.49934             1.00000
                   3                  10             1048576             0.55000             0.49927             1.00000            15.15308             0.02193             0.00048             0.50000                   9             0.49927             1.00000
                   3                  10             1048576             0.55000             0.49921             1.00000            15.15279             0.02141             0.00046             0.50000                  10             0.49921             1.00000
                   3                  10             1048576             0.55000             0.49914             1.00000            15.15325             0.02104             0.00044             0.50000                  11             0.49914             1.00000
                   3                  10             1048576             0.55000             0.49908             1.00000            15.15248             0.02054             0.00042             0.50000                  12             0.49908             1.00000
                   3                  10             1048576             0.55000             0.49902             1.00000            15.15271             0.02053             0.00042             0.50000                  13             0.49902             1.00000
                   3                  10             1048576             0.55000             0.49896             1.00000            15.15276             0.02069             0.00043             0.50000                  14             0.49896             1.00000
                   3                  10             1048576             0.55000             0.49890             1.00000            15.15265             0.01967             0.00039             0.50000                  15             0.49890             1.00000
                   3                  10             1048576             0.55000             0.49885             1.00000            15.15284             0.01974             0.00039             0.50000                  16             0.49885             1.00000
                   3                  10             1048576             0.55000             0.49880             1.00000            15.15275             0.01943             0.00038             0.50000                  17             0.49880             1.00000
                   3                  10             1048576             0.55000             0.49875             1.00000            15.15285             0.01924             0.00037             0.50000                  18             0.49875             1.00000
                   3                  10             1048576             0.55000             0.49871             1.00000            15.15288             0.01921             0.00037             0.50000                  19             0.49871             1.00000
                   3                  10             1048576             0.55000             0.49866             1.00000            15.15284             0.01915             0.00037             0.50000                  20             0.49866             1.00000
                   3                  10             1048576             0.55000             0.49862             1.00000            15.15250             0.01838             0.00034             0.50000                  21             0.49862             1.00000
                   3                  10             1048576             0.55000             0.49858             1.00000            15.15262             0.01837             0.00034             0.50000                  22             0.49858             1.00000
                   3                  10             1048576             0.55000             0.49854             1.00000            15.15295             0.01873             0.00035             0.50000                  23             0.49854             1.00000
                   3                  10             1048576             0.55000             0.49850             1.00000            15.15292             0.01884             0.00035             0.50000                  24             0.49850             1.00000
                   3                  10             1048576             0.55000             0.49846             1.00000            15.15293             0.01830             0.00033             0.50000                  25             0.49846             1.00000
                   3                  10             1048576             0.55000             0.49843             1.00000            15.15278             0.01853             0.00034             0.50000                  26             0.49843             1.00000
                   3                  10             1048576             0.55000             0.49839             1.00000            15.15290             0.01810             0.00033             0.50000                  27             0.49839             1.00000
                   3                  10             1048576             0.55000             0.49836             1.00000            15.15271             0.02054             0.00042             0.50000                  28             0.49836             1.00000
                   3                  10             1048576             0.55000             0.49833             1.00000            15.15305             0.01851             0.00034             0.50000                  29             0.49833             1.00000
                   3                  10             1048576             0.55000             0.49830             1.00000            15.15285             0.01772             0.00031             0.50000                  30             0.49830             1.00000
                   3                  10             1048576             0.55000             0.49827             1.00000            15.15289             0.01804             0.00033             0.50000                  31             0.49827             1.00000
                   3                  10             1048576             0.55000             0.49824             1.00000            15.15271             0.01745             0.00030             0.50000                  32             0.49824             1.00000
                   3                  10             1048576             0.55000             0.49821             1.00000            15.15255             0.01739             0.00030             0.50000                  33             0.49821             1.00000
                   3                  10             1048576             0.55000             0.49819             1.00000            15.15271             0.01728             0.00030             0.50000                  34             0.49819             1.00000
                   3                  10             1048576             0.55000             0.49816             1.00000            15.15292             0.01730             0.00030             0.50000                  35             0.49816             1.00000
                   3                  10             1048576             0.55000             0.49814             1.00000            15.15278             0.01710             0.00029             0.50000                  36             0.49814             1.00000
                   3                  10             1048576             0.55000             0.49812             1.00000            15.15284             0.01729             0.00030             0.50000                  37             0.49812             1.00000
                   3                  10             1048576             0.55000             0.49809             1.00000            15.15310             0.01715             0.00029             0.50000                  38             0.49809             1.00000
                   3                  10             1048576             0.55000             0.49807             1.00000            15.15281             0.01728             0.00030             0.50000                  39             0.49807             1.00000
                   3                  10             1048576             0.55000             0.49805             1.00000            15.15295             0.01686             0.00028             0.50000                  40             0.49805             1.00000
                   3                  10             1048576             0.55000             0.49803             1.00000            15.15293             0.01787             0.00032             0.50000                  41             0.49803             1.00000
                   3                  10             1048576             0.55000             0.49801             1.00000            15.15268             0.01692             0.00029             0.50000                  42             0.49801             1.00000
                   3                  10             1048576             0.55000             0.49799             1.00000            15.15278             0.01678             0.00028             0.50000                  43             0.49799             1.00000
                   3                  10             1048576             0.55000             0.49798             1.00000            15.15290             0.01752             0.00031             0.50000                  44             0.49798             1.00000
                   3                  10             1048576             0.55000             0.49796             1.00000            15.15277             0.01706             0.00029             0.50000                  45             0.49796             1.00000
                   3                  10             1048576             0.55000             0.49794             1.00000            15.15264             0.01745             0.00030             0.50000                  46             0.49794             1.00000
                   3                  10             1048576             0.55000             0.49793             1.00000            15.15278             0.01681             0.00028             0.50000                  47             0.49793             1.00000
                   3                  10             1048576             0.55000             0.49791             1.00000            15.15285             0.01684             0.00028             0.50000                  48             0.49791             1.00000
                   3                  10             1048576             0.55000             0.49790             1.00000            15.15278             0.01666             0.00028             0.50000                  49             0.49790             1.00000
                   3                  10             1048576             0.55000             0.49788             1.00000            15.15294             0.01763             0.00031             0.50000                  50             0.49788             1.00000
                   3                  10             1048576             0.55000             0.49787             1.00000            15.15300             0.01696             0.00029             0.50000                  51             0.49787             1.00000
                   3                  10             1048576             0.55000             0.49786             1.00000            15.15298             0.01839             0.00034             0.50000                  52             0.49786             1.00000
                   3                  10             1048576             0.55000             0.49785             1.00000            15.15266             0.01683             0.00028             0.50000                  53             0.49785             1.00000
                   3                  10             1048576             0.55000             0.49783             1.00000            15.15279             0.01691             0.00029             0.50000                  54             0.49783             1.00000
                   3                  10             1048576             0.55000             0.49782             1.00000            15.15267             0.01664             0.00028             0.50000                  55             0.49782             1.00000
                   3                  10             1048576             0.55000             0.49781             1.00000            15.15292             0.01699             0.00029             0.50000                  56             0.49781             1.00000
                   3                  10             1048576             0.55000             0.49780             1.00000            15.15279             0.01678             0.00028             0.50000                  57             0.49780             1.00000
                   3                  10             1048576             0.55000             0.49779             1.00000            15.15270             0.01668             0.00028             0.50000                  58             0.49779             1.00000
                   3                  10             1048576             0.55000             0.49778             1.00000            15.15283             0.01708             0.00029             0.50000                  59             0.49778             1.00000
                   3                  10             1048576             0.55000             0.49777             1.00000            15.15252             0.01685             0.00028             0.50000                  60             0.49777             1.00000
                   3                  10             1048576             0.55000             0.49776             1.00000            15.15283             0.01664             0.00028             0.50000                  61             0.49776             1.00000
                   3                  10             1048576             0.55000             0.49776             1.00000            15.15263             0.01735             0.00030             0.50000                  62             0.49776             1.00000
                   3                  10             1048576             0.55000             0.49775             1.00000            15.15274             0.01664             0.00028             0.50000                  63             0.49775             1.00000
                   3                  10             1048576             0.55000             0.49774             1.00000            15.15280             0.01675             0.00028             0.50000                  64             0.49774             1.00000
                   3                  10             1048576             0.55000             0.49773             1.00000            15.15274             0.01650             0.00027             0.50000                  65             0.49773             1.00000
                   3                  10             1048576             0.55000             0.49772             1.00000            15.15256             0.01693             0.00029             0.50000                  66             0.49772             1.00000
                   3                  10             1048576             0.55000             0.49772             1.00000            15.15283             0.02095             0.00044             0.50000                  67             0.49772             1.00000
                   3                  10             1048576             0.55000             0.49771             1.00000            15.15287             0.01658             0.00027             0.50000                  68             0.49771             1.00000
                   3                  10             1048576             0.55000             0.49770             1.00000            15.15295             0.01762             0.00031             0.50000                  69             0.49770             1.00000
                   3                  10             1048576             0.55000             0.49770             1.00000            15.15276             0.01696             0.00029             0.50000                  70             0.49770             1.00000
                   3                  10             1048576             0.55000             0.49769             1.00000            15.15276             0.01696             0.00029             0.50000                  71             0.49769             1.00000
