          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   1              262144             1.00000             0.55000             0.10000             1.00000             3.86173             2.91554             8.50040              227803             0.86900                   0                   1
                   3                   1              262144             1.00000             0.55000             0.20000             1.00000             2.17018             1.27777             1.63270              213596             0.81480                   0                   1
                   3                   1              262144             1.00000             0.55000             0.30000             1.00000             1.69951             0.64689             0.41847              202768             0.77350                   0                   1
                   3                   1              262144             1.00000             0.55000             0.40000             1.00000             1.53740             0.27530             0.07579              194140             0.74059                   0                   1
                   3                   1              262144             1.00000             0.55000             0.50000             1.00000             1.50000             0.00000             0.00000              186146             0.71009                   0                   1
                   3                   1              262144             1.00000             0.55000             0.60000             1.00000             1.52577             0.22363             0.05001              179578             0.68504                   0                   1
                   3                   1              262144             1.00000             0.55000             0.70000             1.00000             1.58613             0.41954             0.17601              173216             0.66077                   0                   1
                   3                   1              262144             1.00000             0.55000             0.80000             1.00000             1.67409             0.59012             0.34825              167777             0.64002                   0                   1
                   3                   1              262144             1.00000             0.55000             0.90000             1.00000             1.76884             0.75785             0.57434              162566             0.62014                   0                   1
                   3                   1              262144             1.00000             0.55000             1.00000             1.00000             1.87968             0.91088             0.82971              157617             0.60126                   0                   1
                   3                   1              262144             1.00000             0.55000             1.10000             1.00000             1.98929             1.06768             1.13994              153297             0.58478                   0                   1
                   3                  10              262144             1.00000             0.55000             0.10000             1.00000            38.36618             9.24343            85.44101              227891             0.86934                   0                   1
                   3                  10              262144             1.00000             0.55000             0.20000             1.00000            21.64297             4.05630            16.45358              213781             0.81551                   0                   1
                   3                  10              262144             1.00000             0.55000             0.30000             1.00000            16.99465             2.00900             4.03610              203059             0.77461                   0                   1
                   3                  10              262144             1.00000             0.55000             0.40000             1.00000            15.46522             0.84624             0.71612              194440             0.74173                   0                   1
                   3                  10              262144             1.00000             0.55000             0.50000             1.00000            15.15370             0.02549             0.00065              186891             0.71293                   0                   1
                   3                  10              262144             1.00000             0.55000             0.60000             1.00000            15.44666             0.75105             0.56408              180005             0.68666                   0                   1
                   3                  10              262144             1.00000             0.55000             0.70000             1.00000            16.08267             1.37378             1.88727              174161             0.66437                   0                   1
                   3                  10              262144             1.00000             0.55000             0.80000             1.00000            16.96424             1.93583             3.74743              168332             0.64214                   0                   1
                   3                  10              262144             1.00000             0.55000             0.90000             1.00000            17.97013             2.45426             6.02339              163104             0.62219                   0                   1
                   3                  10              262144             1.00000             0.55000             1.00000             1.00000            19.09188             2.93775             8.63036              158374             0.60415                   0                   1
                   3                  10              262144             1.00000             0.55000             1.10000             1.00000            20.22886             3.46820            12.02841              154048             0.58765                   0                   1
                   3                  50              262144             1.00000             0.55000             0.10000             1.00000           198.23635            19.91960           396.79038              228341             0.87105                   0                   1
                   3                  50              262144             1.00000             0.55000             0.20000             1.00000           111.81697             9.14229            83.58143              214934             0.81991                   0                   1
                   3                  50              262144             1.00000             0.55000             0.30000             1.00000            88.01043             4.52647            20.48890              204769             0.78113                   0                   1
                   3                  50              262144             1.00000             0.55000             0.40000             1.00000            80.43765             1.81975             3.31148              196344             0.74899                   0                   1
                   3                  50              262144             1.00000             0.55000             0.50000             1.00000            78.97450             0.23443             0.05496              189182             0.72167                   0                   1
                   3                  50              262144             1.00000             0.55000             0.60000             1.00000            80.73845             1.89256             3.58177              182731             0.69706                   0                   1
                   3                  50              262144             1.00000             0.55000             0.70000             1.00000            84.39856             3.38551            11.46171              176860             0.67467                   0                   1
                   3                  50              262144             1.00000             0.55000             0.80000             1.00000            89.21043             4.66376            21.75070              171640             0.65475                   0                   1
                   3                  50              262144             1.00000             0.55000             0.90000             1.00000            94.50844             5.98616            35.83414              166528             0.63525                   0                   1
                   3                  50              262144             1.00000             0.55000             1.00000             1.00000           100.72505             6.89166            47.49498              162200             0.61874                   0                   1
                   3                  50              262144             1.00000             0.55000             1.10000             1.00000           107.77765             8.10304            65.65927              158047             0.60290                   0                   1
                   3                 100              262144             1.00000             0.55000             0.10000             1.00000           402.27655            34.17693          1168.06275              228461             0.87151                   0                   1
                   3                 100              262144             1.00000             0.55000             0.20000             1.00000           230.37547            14.00484           196.13559              215215             0.82098                   0                   1
                   3                 100              262144             1.00000             0.55000             0.30000             1.00000           183.69331             7.09902            50.39607              205567             0.78418                   0                   1
                   3                 100              262144             1.00000             0.55000             0.40000             1.00000           167.89273             2.52615             6.38142              197435             0.75315                   0                   1
                   3                 100              262144             1.00000             0.55000             0.50000             1.00000           165.15735             0.51173             0.26187              190696             0.72745                   0                   1
                   3                 100              262144             1.00000             0.55000             0.60000             1.00000           169.13503             2.85626             8.15819              184664             0.70444                   0                   1
                   3                 100              262144             1.00000             0.55000             0.70000             1.00000           176.93292             5.03626            25.36393              179135             0.68335                   0                   1
                   3                 100              262144             1.00000             0.55000             0.80000             1.00000           186.84874             6.90568            47.68839              174186             0.66447                   0                   1
                   3                 100              262144             1.00000             0.55000             0.90000             1.00000           198.86078             8.23634            67.83730              169588             0.64693                   0                   1
                   3                 100              262144             1.00000             0.55000             1.00000             1.00000           211.95120            10.31815           106.46419              165211             0.63023                   0                   1
                   3                 100              262144             1.00000             0.55000             1.10000             1.00000           225.80443            12.17095           148.13191              161442             0.61585                   0                   1
